구인상태,업체명,직종,채용인원,근무시간,근무지역,급여,성별,연령,지원방법,직무내용,등록일
구인중,재단법인 기빙플러스,매장판매원,채용인원1명,근무시간주5일,동작구 흑석동,"시급 10,100원",남여 무관,무관,이메일지원 givingps@miral.org,,2025-01-09
구인중,대한불교보문종,건물 청소원,채용인원2명,근무시간주6일 내용참조,성북구 보문동,"시급 10,030원, 중식제공",여,무관,이력서 팩스지원 02-926-9752,,2025-01-08
구인중,도봉시니어클럽_맘편한지하철택배,지하철 택배원,채용인원6명,근무시간주6일,종로구 창신동,내용참조,남,60세~79세,전화 후 방문 02-3492-3009,,2025-01-07
구인중,"롯데리아, 상암점",매장보조원,채용인원1명,"근무시간주20시간, 시간조정 가능",마포구 상암동,월급 100만원 이상,남,~65세까지,이력서 문자지원 010-5443-4988,,2025-01-06
구인중,"커피빈코리아, 안국점",매장보조원,채용인원1명,"근무시간주5일, 내용참조",종로구 안국동,"시급 10,030원",무관,60세 이상,*상담사 알선 02-6220-8640,,2025-01-06
구인중,줌마지하철택배,지하철 택배원,채용인원5명,근무시간주5일,서울 및 동대문역 인근,50만원 이상,남,65세 이상,전화 후 방문 010-3058-0358,,2024-12-27
구인중,종로농원,지하철 배송원,채용인원3명,근무시간주5일,서울시내,"건당 8,000~10,000원",무관,65세 이상~,전화 후 방문 010-5241-9601,,2024-12-27
구인중,딜리버리 유&미,지하철 택배원,채용인원5명,근무시간주5일,서울시내,월 80만원,무관,65세 이상,*상담사 알선 02-6220-8640,,2024-10-21
구인마감,"커피빈코리아, 도심공항점",매장보조원,채용인원1명,"근무시간주5일, 내용참조",강남구 삼성동,"시급 10,030원",무관,60세 이상,메일지원,,2025-01-17
구인마감,센터스퀘어 서울대점,주상복합 청소원,채용인원1명,근무시간주 5일 08:00~15:30,관악구 신림동,월급 180만원,여,무관,전화 후 방문 070-7750-1781,,2025-01-17
구인마감,(주)대명진흥개발,아파트 청소원,채용인원1명,근무시간주5일,동작구 대방동,월급 128만원,남,무관,팩스지원 031-381-0115,,2025-01-13
구인마감,오행종합개발(주),아파트 청소원,채용인원1명,근무시간주5일,구로구 개봉동,월급 130만원,여,~73세까지,이메일지원 dhgod01@naver.com,,2025-01-13
구인마감,한강트럼프월드3차,아파트 보안원,채용인원1명,근무시간주주비/야야비,용산구 한강로3가,월급 255만원,남,무관,이메일지원 sony3350@nate.com,,2025-01-10
구인마감,주식회사한영파트너스에프에이치,아파트 경비원,채용인원1명,근무시간계약직 (3개월),서대문구 홍제동,월급 290만원,남,무관,전화 후 방문 010-8924-2847,,2025-01-10
구인마감,주식회사에코그린티엠,아파트 외곽 청소원,채용인원1명,근무시간격주 근무,성북구 종암동,"월급 1,422,910원",남,무관,전화 후 방문 010-2221-4020,,2025-01-10
구인마감,(유)우원티엠,아파트 외곽 청소원,채용인원1명,근무시간격주 근무,성북구 길음동,월급 154만원,남,무관,전화 후 방문 010-2646-3021,,2025-01-10
구인마감,화인홍제빌딩,주차관리원,채용인원1명,근무시간3교대근무,서대문구 홍제동,월급 220만원,남,무관,전화 후 방문 02-379-0781,,2025-01-09
구인마감,새롬에스앤씨 주식회사,아파트 청소원,채용인원1명,근무시간주6일,서초구 잠원동,월급 171만원,여,무관,전화 후 방문 010-9985-8864,,2025-01-09
구인마감,삼우안전관리유한책임회사,아파트 외곽 청소원,채용인원1명,근무시간주6일,영등포구 당산동,월급 183 만원,남,무관,전화 후 방문 010-8823-5470,,2025-01-09
구인마감,주식회사이안,아파트 외곽 청소원,채용인원2명,근무시간주6일,마포구 염리동,월급 143만원,남,무관,전화 후 방문 010-2899-9597,,2025-01-09
구인마감,인우빌딩,건물 관리원,채용인원1명,"근무시간격일, 08:00~익일08:00",마포구 용강동,월급 230만원,남,무관,전화 후 방문 010-5279-7311,,2025-01-07
구인마감,주식회사금조산업,빌딩 경비원,채용인원1명,근무시간주5일,성동구 성수동,월급 217만원,남,무관,팩스지원 02-761-1162,,2025-01-07
구인마감,(주)홈스웰,아파트 외곽 청소원,채용인원1명,"근무시간격주, 내용참조",용산구 한강로3가,"월급 1,892,200원",남,무관,전화 후 방문 010-6741-7951,,2025-01-06
구인마감,"커피빈코리아, 도심공항점",매장보조원,채용인원1명,"근무시간주5일, 내용참조",강남구 삼성동,"시급 10,030원",무관,60세 이상,*상담사 알선 02-6220-8640,,2025-01-06
구인마감,예주산업(주),아파트 청소원,채용인원1명,"근무시간주5일, 09:00~15:00",도봉구 창동,월급 130만원,여,무관,전화 후 방문 010-9612-0191,,2025-01-03
구인마감,지앤지자산관리주식회사,빌딩 보안원,채용인원1명,"근무시간격일, 07:00~익일07:00",마포구 상수동,월급 240만원,남,무관,팩스지원 02-2135-3208,,2025-01-03
구인마감,주식회사창공엔지니어링,가스 검침원,채용인원2명,"근무시간주5일, 09:00~18:00",광진구 자양동,월급 245만원,여,무관,팩스 지원 02-6713-7084,,2025-01-03
구인마감,춘태개발,상가 청소원,채용인원1명,"근무시간주5일, 09:00~17:00(휴게 2시간)",동대문구 휘경동,월급 185만원,여,무관,전화 후 방문 02-2215-9555,,2025-01-03
구인마감,(주)미래에이비엠,아파트 외곽 청소원,채용인원1명,근무시간주5일,중랑구 신내동,"월급 1,619,700원",남,무관,전화 후 방문 010-2932-1838,,2025-01-03
구인마감,(주)새암씨앤에스,빌딩 경비원,채용인원1명,"근무시간격일, 07:00~익일07:00",서초구 서초동,월급 225만원,남,무관,이메일지원 choibj00@naver.com,,2024-12-30
구인마감,(주)태원에이엠,빌딩 안내원,채용인원1명,"근무시간격일, 07:00~익일07:00",영등포구 여의도동,월급 277만원,남,무관,팩스지원 02-470-4107,,2024-12-30
구인마감,인덕종합관리(주),아파트 청소원,채용인원1명,근무시간주6일,서대문구 홍제동,월급 157만원,여,무관,전화 후 방문 010-3559-9840,,2024-12-30
구인마감,(주)푸디스엘엔에프,주방 보조원(병원),채용인원1명,근무시간주6일 09:00~16:00,강남구 논현동,"시급 13,000원",여,무관,전화 후 방문 010-8710-3228,,2024-12-30
구인마감,대신관리주식회사,아파트 경비원,채용인원1명,근무시간격일 07:00~익일07:00,성동구 금호동,월급 224만원,남,무관,전화 후 방문 010-7101-7845,,2024-12-30
구인마감,(주)대종실업,교회 청소원,채용인원1명,"근무시간주5일, 내용참조",중구 남창동,월급 210만원,여,~68세까지,전화 후 방문 010-5231-8058,,2024-12-30
구인마감,대신관리주식회사,아파트 외곽 청소원,채용인원1명,근무시간주6일,광진구 자양동,월급 205만원,남,무관,전화 후 방문 02-3494-5787,,2024-12-27
구인마감,에이치디씨랩스(주),빌딩 외곽청소원,채용인원2명,근무시간주5일,광진구 자양동,월급 182만원,남,무관,문자지원 010-7114-2119,,2024-12-27
구인마감,지앤비시스템,병원 청소원,채용인원1명,근무시간주6일,노원구 상계동,"월급 2,260,000원",여,무관,전화 후 방문 010-9974-6672,,2024-12-26
구인마감,지앤비시스템,병원 청소원,채용인원1명,근무시간주6일 06:00~15:00,서초구 서초동,"월급 2,223,000원",여,무관,전화 후 방문 010-5204-7966,,2024-12-26
구인마감,(주)두원에이앤씨,아파트 경비원,채용인원1명,"근무시간격일, 06:00~익일 06:00",서대문구 홍제동,월급 213만원,남,무관,팩스지원 02-395-1138,,2024-12-26
구인마감,(주)알앤지서비스,빌딩 경비원,채용인원1명,"근무시간격일, 07:00~익일07:00",서초구 양재동,월급 234만원,남,무관,전화 후 방문 02-501-8235,,2024-12-24
구인마감,주식회사태양삼차원환경,아파트 경비원,채용인원1명,"근무시간격일, 06:00~익일06:00",광진구 광장동,"월급 2,213,130원",남,무관,이력서 문자지원 010-8515-1709,,2024-12-24
구인마감,주식회사 에스디개발관리,시설관리원,채용인원2명,근무시간격일 09:00~익일 09:00,강남구 논현동,월급 280만원,남,무관,팩스지원 02-540-6241,,2024-12-24
구인마감,(주)두원에이앤씨,아파트 청소원,채용인원2명,근무시간주6일,동대문구 전농동,월급 181만원,남,~65세까지,전화 후 방문 010-5021-5716,,2024-12-24
구인마감,(주)씨엠시설관리,빌딩 경비원,채용인원1명,"근무시간격일, 06:00~익일 06:00",종로구 관훈동,월급 170만원,남,~72세까지,전화 후 방문 010-6341-2517,,2024-12-24
구인마감,(주)경진이앤지,아파트 경비원,채용인원1명,근무시간격일 06:00~익일06:00,성동구 성수동,월급 215만원,남,~72세까지,전화 후 방문 010-3721-8712,,2024-12-24
구인마감,(주)씨엠시설관리,빌딩 청소원,채용인원1명,근무시간주5일,강남구 역삼동,월급 174만원,여,무관,전화 후 방문 010-6341-2517,,2024-12-24
구인마감,비씨엔서비스(주),빌딩 경비원,채용인원1명,근무시간*격일교대 / 평일: 14:00~익일07:30,강남구 대치동,월급 220만원,남,~72세,이력서 팩스지원 02-3295-4898,,2024-12-23
구인마감,(주)두원에이앤씨,아파트 외곽 청소원,채용인원1명,근무시간주5일,종로구 무악동,월급 177만원,남,무관,팩스지원 02-861-5026,,2024-12-20
구인마감,승인산업주식회사,아파트 외곽 청소원,채용인원3명,근무시간주6일,성동구 금호동,월급 159만원,남,무관,전화 후 방문 02-923-3231,,2024-12-20
구인마감,센시티16공동주택대표회의,오피스텔 관리원,채용인원1명,"근무시간격일, 07:00~익일07:00",동대문구 답십리동,"월급 2,193,000원",남,~68세까지,전화 후 방문 02-2248-2620,,2024-12-20
구인마감,한림종합관리(주),빌딩 경비원,채용인원1명,근무시간격일06:30~익일06:30,광진구 화양동,월급 226만원,남,무관,문자지원 010-2411-2882,,2024-12-19
구인마감,하나로퀵서비스,지하철 배송원,채용인원10명,근무시간주5일,"서울, 수도권",평균 50만원 이상,무관,~70세까지,전화지원 1588-5174,,2024-12-17
구인마감,메트로불광센터,단순직,채용인원1명,근무시간주5일 07:00~09:00,종로구 적선동,"시급 9,860원",무관,무관,전화지원 010-8304-0159,,2024-12-17
구인마감,태영건물종합관리 주식회사,아파트 외곽청소원,채용인원1명,근무시간주6일,성북구 길음동,"월급 1,479,620원",남,~73세까지,전화 후 방문 010-2890-8039,,2024-12-17
구인마감,(주)듀델코리아,아파트 경비원,채용인원1명,근무시간격일06:00~익일06:00,관악구 신림동,월급 228만원,남,무관,전화 후 방문 010-8323-9294,,2024-12-17
구인마감,주식회사케이두레,주차관리원,채용인원1명,근무시간격일06:30~익일06:30,강서구 등촌동,월급 248만원,남,~67세까지,전화 후 방문 010-2525-8272,,2024-12-17
구인마감,코오롱엘에스아이주식회사,빌딩 외곽 청소원,채용인원1명,근무시간주5일,강서구 등촌동,월급 198만원,남,무관,문자지원(이력서) 010-5081-1092,,2024-12-17
구인마감,(주)경진이앤지,아파트 경비원,채용인원2명,근무시간격일06:00~익일06:00,강서구 등촌동,월급 236만원,남,무관,팩스지원 02-2684-8264,,2024-12-17
구인마감,동대문구시설관리공단,사무보조원,채용인원1명,근무시간주6일 내용참조,동대문구 용두동,"시급 11,779원",무관,60세이상,온라인접수,,2024-12-17
구인마감,주식회사에프터클린,빌딩 경비원,채용인원1명,근무시간주6일,강남구 신사동,월급 230만원,남,무관,팩스지원 0505-304-5404,,2024-12-13
구인마감,(주)듀델코리아,아파트 외곽 청소원,채용인원1명,근무시간주6일,은평구 녹번동,월급 183만원,남,무관,전화 후 방문 010-9012-0216,,2024-12-13
구인마감,엘림에스(유),아파트 외곽 청소원,채용인원1명,근무시간주6일,강서구 화곡동,월급 156만원,남,무관,전화 후 방문 010-3899-6914,,2024-12-13
구인마감,,지하철 안전도우미,채용인원150명,근무시간내용참조,서울교통공사 266개 역,내용참조,무관,18세 이상,현장접수 02-6311-2024,,2024-12-13
구인마감,한국신문수송(주),단순포장원,채용인원1명,근무시간주5일,서대문구 충정로3가,월급 125만원,여,~63세까지,팩스지원 02-392-8080,,2024-12-13
구인마감,(주)신화비엠씨,아파트 외곽 청소원,채용인원1명,근무시간주6일,동대문구 답십리동,월급 197만원,남,무관,전화 후 방문 010-5320-1546,,2024-12-10
구인마감,(주)제일개발피스,빌딩 경비원,채용인원1명,근무시간격일06:30~익일06:30,강남구 역삼동,월급 247만원,남,무관,전화 후 방문 010-3999-5136,,2024-12-09
구인마감,송간기업(주),경비주차관리원,채용인원1명,근무시간주5일,강남구 대치동,월급 211만원,남,~65세까지,전화 후 방문 02-3442-4436,,2024-12-09
구인마감,(유)탄천산업,아파트 경비원,채용인원1명,근무시간격일06:00~익일06:00,동작구 사당동,월급 232만원,남,무관,전화 후 방문 010-9003-8350,,2024-12-09
구인마감,주식회사태양삼차원환경,아파트 청소원,채용인원1명,근무시간주6일,강남구 압구정동,월급 174만원,여,무관,전화 후 방문 010-5244-1145,,2024-12-09
구인마감,주식회사태양삼차원환경,아파트 경비원,채용인원1명,근무시간격일06:00~익일06:00,노원구 중계동,월급 209만원,남,무관,팩스지원 031-568-2950,,2024-12-09
구인마감,(주)삼일공사,아파트 청소원,채용인원2명,근무시간주6일,성북구 정릉동,"월급 1,413,780원",여,무관,전화 후 방문 010-7149-1208,,2024-12-09
구인마감,유원종합관리(주),전기관리원,채용인원1명,근무시간주5일,양천구 신정동,월급 341만원,남,무관,이메일지원 pulun3@naver.com,,2024-12-09
구인마감,줌마지하철택배,지하철 택배원,채용인원5명,근무시간주5일,서울 및 동대문역 인근,50만원 이상,남,65세 이상,전화 후 방문 010-3058-0358,,2024-12-06
구인마감,에이치디씨랩스(주),외곽 청소원,채용인원1명,근무시간주5일,광진구 자양동,월급 182만원,남,무관,문자지원 010-7114-2119,,2024-12-03
구인마감,(주)유앤알컴퍼니,주차관리원,채용인원1명,근무시간주6일,강남구 도곡동,월급 273만원,남,무관,전화 후 방문 02-547-2283,,2024-12-03
구인마감,(유)탄천산업,아파트 경비원,채용인원1명,근무시간격일06:00~익일06:00,강서구 등촌동,월급 232만원,남,무관,전화 후 방문 010-9003-8350,,2024-12-03
구인마감,(유)원광,아파트 경비원,채용인원1명,근무시간격일06:30~익일06:30,송파구 신청동,월급 221만원,남,무관,문자지원 010-8481-9610,,2024-12-03
구인마감,주식회사 대성디엔씨,건물관리원(소장),채용인원1명,근무시간주5일,금천구 독산동,월급 340만원,남,무관,팩스지원 031-213-9555,,2024-12-03
구인마감,한국신문수송(주),단순포장원,채용인원1명,근무시간주5일,서대문구 충정로3가,월급 125만원,여,~63세까지,팩스지원 02-392-8080,,2024-12-02
구인마감,우원개발(주),건설·채굴 단순 종사원,채용인원20명,근무시간주5일,성북구 길음동,"시급 9,860원~13,000원",남,무관,팩스지원 02-984-0483,,2024-11-26
구인마감,종로농원,지하철 배송원,채용인원3명,근무시간주5일,서울시내,"건당 8,000~10,000원",무관,65세 이상~,전화 후 방문 010-5241-9601,,2024-11-26
구인마감,(주)신현대관리,아파트 외곽청소원,채용인원1명,근무시간주6일,용산구 한남동,"월급 1,676,900원",남,~70세까지,팩스지원 02-471-0147,,2024-11-26
구인마감,주식회사에스제이서비스,건물 영선원,채용인원1명,"근무시간격일, 08:30~익일08:30",강남구 대치동,월급 290만원,남,무관,이메일지원 xuanwo70@korea.kr,,2024-11-26
구인마감,아시아미디어타워관리단,주차 관리원,채용인원1명,근무시간주당야비,중구 초동,월급 241만원,남,무관,전화 후 방문 02-2200-4118,,2024-11-26
구인마감,,빌딩 경비원,채용인원1명,근무시간격일 07:00~익일07:00,마포구 동교동,월급 224만원,남,무관,전화 후 방문 02-3142-3078,,2024-11-26
구인마감,(주)대원제삼차자산관리,고시텔 청소원,채용인원1명,근무시간주3일,강서구 등촌동,"월급 350,000원",무관,~70세까지,전화 후 방문 010-3223-8560,,2024-11-26
구인마감,주식회사인동,아파트 경비원,채용인원1명,"근무시간격일, 06:00~익일 06:00",노원구 상계동,월급 213만원,남,무관,팩스지원 02-932-5220,,2024-11-26
구인마감,(주)주신엠에스,빌딩 경비원,채용인원1명,"근무시간격일, 06:00~익일 06:00",도봉구 창동,월급 196만원,남,무관,팩스지원 0505-343-0144,,2024-11-26
구인마감,주식회사 로이안에이치앤에프,스포츠센터 청소원,채용인원1명,근무시간주6일,서초구 잠원동,월급 184만원,여,무관,팩스지원 02-2058-1963,,2024-11-26
구인마감,(주)아크로비엠에스,시설주차관리원,채용인원1명,근무시간주5일,강남구 일원동,월급 243만원 이상,남,무관,팩스지원 031-574-9008,,2024-11-26
구인마감,(주)신현대관리,빌딩 경비원,채용인원1명,"근무시간격일, 07:00~익일 07:00",강남구 대치동,월급 239만원,남,무관,전화 후 방문 010-5355-5529,,2024-11-26
구인마감,인덕종합관리(주),아파트 경비원,채용인원1명,"근무시간격일, 06:00~익일 06:00",강서구 염창동,"월급 2,325,000원",남,무관,팩스지원 02-984-9847,,2024-11-26
구인마감,(주)씨앤에스자산관리,매장 청소원,채용인원1명,근무시간주3일,마포구 서교동,월급 90만원,여,무관,문자지원 010-9491-6984,,2024-11-26
구인마감,삼진엠피에스주식회사,오피스텔 경비원,채용인원1명,근무시간격일8:00~익일08:00,송파구 잠실동,"월급 2,132,840원",남,무관,팩스지원 02-558-8218,,2024-11-26
구인마감,(주)두원에이앤씨,아파트 청소원,채용인원2명,근무시간주6일,동대문구 전농동,월급 180만원,여,~70세까지,전화 후 방문 02-865-5025,,2024-11-26
구인마감,(주)오케이시스템,빌딩청소원,채용인원1명,근무시간주5일,종로구 종로5가,186만원,여,~70세까지,전화 후 방문 02-3473-2754,,2024-11-26
구인마감,N서울타워,안내원,채용인원3명,근무시간주3~4일,용산구 용산동,"시급 9,860원",무관,~65세까지,*상담사 알선 02-6220-8636,,2024-11-22
구인마감,2025년 서울강남시니어클럽 노인일자리사업 참여자 모집,노인일자리사업,채용인원내용참조,근무시간내용참조,강남구내,내용참조,무관,60세 이상,전화 02-547-8866,,2024-11-21
구인마감,(주)신현대관리,아파트 경비원,채용인원2명,근무시간격일07:00~익일07:00,성동구 행당동,"월급 2,174,950원",남,무관,전화 후 방문 010-7130-8631,,2024-11-20
구인마감,주식회사라포르,아파트 외곽청소원,채용인원1명,근무시간주6일,서대문구 북아현동,월급 176만원,남,무관,전화 후 방문 010-9074-7744,,2024-11-20
구인마감,주식회사에스에이치피엠,시설관리원,채용인원1명,근무시간격일 09:00~익일09:00,중구 초동,월급 265만원,남,~63세,전화지원 010-9328-1210,,2024-11-19
구인마감,코코아컴,행정보조원(생산보조),채용인원1명,근무시간주5일,금천구 가산동,월206만원,남,~63세,*상담사 알선 02-6220-8640,,2024-11-19
구인마감,(주)미래에이비엠,오피스텔 경비원,채용인원1명,근무시간격일06:00~익일06:00,강서구 등촌동,"월급 2,164,910원",남,무관,전화후 방문 02-2668-6969,,2024-11-19
구인마감,(주)두원에이앤씨,아파트 청소원,채용인원1명,근무시간주6일,서대문구 홍은동,월급 154만원,여,무관,전화 후 방문 010-8673-6965,,2024-11-19
구인마감,주식회사태은환경,외곽 청소원,채용인원2명,근무시간주6일,강북구 미아동,"월급 1,463,930원",남,무관,전화후 방문 02-3494-2740,,2024-11-19
구인마감,(주)선민기업,운전원,채용인원4명,근무시간주5일,구로구 신도림동,"월급 2,060,740원",남,무관,전화후 방문 02-2672-8500,,2024-11-19
구인마감,가가호호정가네데이케어센터,주방보조원,채용인원1명,근무시간주6일,은평구 신사동,"월급 800,000원",여,무관,전화후 방문 02-302-8701,,2024-11-19
구인마감,호삼빌딩,주차관리원,채용인원1명,근무시간주6일,관악구 봉천동,월급 193만원,남,무관,팩스지원 02-886-4415,,2024-11-18
구인마감,,학교보안관,채용인원2명,근무시간공고문 참고,은평구 진관동,"월급 2,208,270",무관,만55세 ~ 만70세,이메일 지원 sidedoors@sen.go,,2024-11-13
구인마감,(주)두원에이앤씨,아파트 외곽 청소원,채용인원1명,근무시간주6일,강동구 강일동,"월급 1,657,180원",남,무관,전화후 방문 010-6329-9422,,2024-11-13
구인마감,주식회사이데아그룹,아파트 외곽청소원,채용인원1명,근무시간주6일,서대문구 북가좌동,월급 168만원,남,무관,전화 후 방문 010-7200-5275,,2024-11-13
구인마감,(주)에이원티엠에스,건물 청소원,채용인원2명,근무시간주5일,종로구 청진동,월급 182만원,여,무관,팩스지원 02-723-7779,,2024-11-13
구인마감,이화어린이집,어린이집 청소원,채용인원1명,근무시간주5일14:00~16:00,양천구 신월동,월103만원,여,무관,*전화 후 방문 02-2607-9549,,2024-11-12
구인마감,주식회사세이프원,아파트 외곽청소원,채용인원1명,근무시간주5일09:00~15:00,영등포구 양평동,월144만원,남,무관,*전화 후 방문 010-4756-0261,,2024-11-12
구인마감,인덕종합관리(주),병실 보조원,채용인원1명,근무시간주5일,도봉구 창동,"월급 2,061,000원",남,~60세까지,팩스지원 02-984-9847,,2024-11-11
구인마감,주식회사 삼호안전종합관리,주차관리원,채용인원1명,근무시간격일 07:00~07:00,영등포구 신길동,월급 207만원,남,무관,전화 후 방문 02-845-7840,,2024-11-11
구인마감,신라무역,건물관리원,채용인원1명,근무시간주6일,송파구 방이동,월급 230만원,남,무관,팩스지원 02-463-5438,,2024-11-11
구인마감,주식회사인동,아파트 경비원,채용인원1명,근무시간격일 06:00~익일 06:00,노원구 상계동,"월급 1,986,950원",남,무관,전화 후 방문 010-5315-7827,,2024-11-11
구인마감,주식회사다원,오피스텔 경비원,채용인원1명,근무시간격일 06:00~익일06:00,구로구 천왕동,월급 170만원,남,무관,전화 후 방문 010-5241-4548,,2024-11-11
구인마감,에스에스엠엠 주식회사,세차원,채용인원1명,근무시간주5일,동작구 상도동,월급 240만원,남,무관,이메일지원 baejm@nosa.or.kr,,2024-11-11
구인마감,비씨엔서비스(주),경비원,채용인원1명,근무시간격일교대,강남구 대치동,월220만원,남,무관,*이력서 팩스지원 02-3295-4898,,2024-11-11
구인마감,지에스25마포사랑점,[시니어인턴십] 편의점 판매원(야간),채용인원1명,"근무시간주2일(수, 금) 시간",마포구 마포동,"시급9,860원",무관,60세 이상,전화 후 방문 010-4303-0868,,2024-11-11
구인마감,부림산업개발,빌딩 경비원,채용인원1명,근무시간격일 07:00~익일 07:00,중구 서소문동,월급 230만원,남,~70세,이력서 메일 jkj002@daum.net,,2024-11-05
구인마감,(주) 베스트시큐리티,도서관 청소원,채용인원1명,근무시간주5일,광진구 구의동,월급 84만원,여,무관,전화 후 방문 010-4707-4488,,2024-11-05
구인마감,삼우서비스주식회사,아파트 청소원,채용인원1명,근무시간주6일,강남구 개포동,월급 176만원,여,무관,전화 후 방문 010-8349-8909,,2024-11-05
구인마감,대영관리주식회사,건물관리원,채용인원1명,근무시간주6일,마포구 도화동,월급 220만원,남,무관,팩스지원 031-388-8304,,2024-11-05
구인마감,(주)삼구아이앤씨,주차안내원,채용인원1명,근무시간주5일,광진구 구의동,월급 103만원,남,무관,이메일지원 soobeen.jang@samkoo,,2024-11-05
구인마감,태림주택종합관리(주),건물경비원,채용인원1명,근무시간주6일,영등포구 양평동,월급 201만원,남,무관,전화 후 방문 02-2632-5007,,2024-11-04
구인마감,영신빌딩,건물관리원,채용인원1명,근무시간주6일,종로구 묘동,"시급 9,860원",남,무관,전화 후 방문 010-2332-3321,,2024-11-04
구인마감,엘림에스(주),아파트 청소원,채용인원1명,"근무시간08:30~15:00,격주토08:30~12시",종로구 인의동,월149만원,여,무관,*이력서 팩스지원 및 메일지원,,2024-11-04
구인마감,새롬에스앤씨주식회사,상가 청소원,채용인원1명,"근무시간평일09:00~16:00, 토09~12시",중랑구 망우동,월154만원,무관,무관,*전화통화 후 방문 010-2794-2475,,2024-11-04
구인마감,(주)고암,빌딩 경비원,채용인원1명,근무시간주5일09:00~18:00,마포구 서교동,월270만원,남,무관,메일지원 shin9012@goam.co.kr,,2024-10-31
구인마감,(사)장애인의 길벗,장애인 생활지도원,채용인원1명,근무시간주5일,용산구 이촌동,"시급 9,860원",무관,무관,이메일지원 job@jgwoman.or.kr,,2024-10-31
구인마감,선우환경관리 주식회사,아파트 청소원,채용인원1명,근무시간주6일,성동구 금호동,월급 167만원,여,무관,전화 후 방문 010-2073-4500,,2024-10-31
